			School				Cost				Effect					% Chance to gain									AI value				Right click text				
Lot	Lot	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Lot}

Pozwala na wykorzystanie czêœci punktów ruchu do przelotu nad jak¹œ przeszkod¹ terenow¹.  Koniec kolejki musi zakoñczyæ siê l¹dowaniem."	"{Lot - poziom podstawowy}

Pozwala na wykorzystanie czêœci punktów ruchu do przelotu nad jak¹œ przeszkod¹ terenow¹.  Koniec kolejki musi zakoñczyæ siê l¹dowaniem.
"	"{Lot - poziom zaawansowany}

Pozwala na wykorzystanie wiêkszoœci punktów ruchu do przelotu nad jak¹œ przeszkod¹ terenow¹.  Koniec kolejki musi zakoñczyæ siê l¹dowaniem.
"	"{Lot - poziom mistrzowski}

Pozwala na wykorzystanie wszystkich punktów ruchu do przelotu nad jak¹œ przeszkod¹ terenow¹.  Koniec kolejki musi zakoñczyæ siê l¹dowaniem.
"	 ADV_SPELL
Spacer po wodzie	Spacer po wodzie	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Spacer po wodzie}

Pozwala na wykorzystanie czêœci punktów ruchu do chodzenia po wodzie. Koniec kolejki musi zakoñczyæ siê na l¹dzie."	"{Spacer po wodzie - poziom podstawowy}

Pozwala na wykorzystanie czêœci punktów ruchu do chodzenia po wodzie. Koniec kolejki musi zakoñczyæ siê na l¹dzie.
"	"{Spacer po wodzie - poziom zaawansowany}

Pozwala na wykorzystanie wiêkszoœci punktów ruchu do chodzenia po wodzie. Koniec kolejki musi zakoñczyæ siê na l¹dzie.
"	"{Spacer po wodzie - poziom mistrzowski}

Pozwala na wykorzystanie wszystkich punktów ruchu do chodzenia po wodzie. Koniec kolejki musi zakoñczyæ siê na l¹dzie.
"	 ADV_SPELL
Wrota wymiarów	Wrota wymiarów	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Wrota wymiarów}

Raz dziennie mo¿esz teleportowaæ swojego bohatera wraz z jego armi¹ do widocznego, wolnego miejsca na mapie.
"	"{Wrota wymiarów - poziom podstawowy}

Dwa razy dziennie mo¿esz teleportowaæ swojego bohatera wraz z jego armi¹ do widocznego, wolnego miejsca na mapie.
"	"{Wrota wymiarów - poziom zaawansowany}

Trzy razy dziennie mo¿esz teleportowaæ swojego bohatera wraz z jego armi¹ do widocznego, wolnego miejsca na mapie.
"	"{Wrota wymiarów - poziom mistrzowski}

Cztery razy dziennie mo¿esz teleportowaæ swojego bohatera wraz z jego armi¹ do widocznego, wolnego miejsca na mapie.
"	 ADV_SPELL
Miejski portal	Miejski portal	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Miejski portal}

Teleportuje bohatera do najbli¿szego nale¿¹cego do niego miasta. Miasta nie mo¿e odwiedzaæ w tym czasie inny bohater.
"	"{Magiczny portal - poziom podstawowy}

Teleportuje bohatera do najbli¿szego nale¿¹cego do niego miasta. Miasta nie mo¿e odwiedzaæ w tym czasie inny bohater.
"	"{Magiczny portal - poziom zaawansowany}

Teleportuje bohatera do dowolnego nale¿¹cego do niego miasta. Miasta nie mo¿e odwiedzaæ w tym czasie inny bohater.
"	"{Magiczny portal - poziom mistrzowski}

Teleportuje bohatera do dowolnego nale¿¹cego do niego miasta. Miasta nie mo¿e odwiedzaæ w tym czasie inny bohater.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Ruchome piaski	Ruchome piaski	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Ruchome piaski}

Zaklêcie tworzy losowo na polu bitwy cztery obszary pokryte ruchomymi piaskami. Obszary te widoczne s¹ tylko dla gracza, który je utworzy³ i w³aœciwych dla danego terenu oddzia³ów. Oddzia³, który wpadnie w ruchome piaski, nie mo¿e siê poruszaæ do rozpoczêcia nastêpnej kolejki."	"{Ruchome piaski - poziom podstawowy}

Zaklêcie tworzy losowo na polu bitwy cztery obszary pokryte ruchomymi piaskami. Obszary te widoczne s¹ tylko dla gracza, który je utworzy³ i w³aœciwych dla danego terenu oddzia³ów. Oddzia³, który wpadnie w ruchome piaski, nie mo¿e siê poruszaæ do rozpoczêcia nastêpnej kolejki."	"{Ruchome piaski - poziom zaawansowany}

Zaklêcie tworzy losowo na polu bitwy szeœæ obszarów pokrytych ruchomymi piaskami. Obszary te widoczne s¹ tylko dla gracza, który je utworzy³ i w³aœciwych dla danego terenu oddzia³ów. Oddzia³, który wpadnie w ruchome piaski, nie mo¿e siê poruszaæ do rozpoczêcia nastêpnej kolejki."	"{Ruchome piaski - poziom mistrzowski}

Zaklêcie tworzy losowo na polu bitwy osiem obszarów pokrytych  ruchomymi piaskami. Obszary te widoczne s¹ tylko dla gracza, który je utworzy³ i w³aœciwych dla danego terenu oddzia³ów. Oddzia³, który wpadnie w ruchome piaski, nie mo¿e siê poruszaæ do rozpoczêcia nastêpnej kolejki."	 COMBAT_SPELL|LOCATION_TARGET
Pole minowe	Pole minowe	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Pole minowe}

Zaklêcie tworzy losowo na polu bitwy cztery pola minowe widoczne tylko dla gracza i w³aœciwych dla danego terenu oddzia³ów. Ka¿dy oddzia³, który wejdzie na miny, powoduje ich wybuch."	"{Pole minowe - poziom podstawowy}

Zaklêcie tworzy losowo na polu bitwy cztery pola minowe widoczne tylko dla gracza i w³aœciwych dla danego terenu oddzia³ów. Ka¿dy oddzia³, który wejdzie na miny, powoduje ich wybuch."	"{Pole minowe - poziom zaawansowany}

Zaklêcie tworzy losowo na polu bitwy szeœæ pól minowych widocznych tylko dla gracza i w³aœciwych dla danego terenu oddzia³ów. Ka¿dy oddzia³, który wejdzie na miny, powoduje ich wybuch."	"{Pole minowe - poziom mistrzowski}

Zaklêcie tworzy losowo na polu bitwy osiem pól minowych widocznych tylko dla gracza i w³aœciwych dla danego terenu oddzia³ów. Ka¿dy oddzia³, który wejdzie na miny, powoduje ich wybuch."	 COMBAT_SPELL|LOCATION_TARGET
Pole si³owe	Pole si³owe	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Pole si³owe}

W miejscu wskazanym przez gracza tworzy ma³ej wielkoœci pole si³owe na polu bitwy, nie pozwalaj¹ce na przejœcie wrogim oddzia³om.
"	"{Pole si³owe - poziom podstawowy}

W miejscu wskazanym przez gracza tworzy ma³ej wielkoœci pole si³owe na polu bitwy, nie pozwalaj¹ce na przejœcie wrogim oddzia³om.
"	"{Pole si³owe - poziom zaawansowany}

W miejscu wskazanym przez gracza tworzy œredniej wielkoœci pole si³owe na polu bitwy, nie pozwalaj¹ce na przejœcie wrogim oddzia³om.
"	"{Pole si³owe - poziom mistrzowski}

W miejscu wskazanym przez gracza tworzy œredniej wielkoœci pole si³owe na polu bitwy, nie pozwalaj¹ce na przejœcie wrogim oddzia³om.
"	 COMBAT_SPELL|LOCATION_TARGET
Œciana ognia	Œciana ognia	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Œciana ognia}

W miejscu wskazanym przez gracza tworzy ma³¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ.
"	"{Œciana ognia - poziom podstawowy}

W miejscu wskazanym przez gracza tworzy ma³¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ.
"	"{Œciana ognia - poziom zaawansowany}

W miejscu wskazanym przez gracza tworzy œredni¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ.
"	"{Œciana ognia - poziom mistrzowski}

W miejscu wskazanym przez gracza tworzy œredni¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ.
"	 COMBAT_SPELL|LOCATION_TARGET
Trzêsienie ziemi	Trzêsienie ziemi	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Trzêsienie ziemi}

Uszkadza  mury miasta w dwóch losowo wybranych miejscach.
"	"{Trzêsienie ziemi - poziom podstawowy}

Uszkadza  mury miasta w dwóch losowo wybranych miejscach.
"	"{Trzêsienie ziemi - poziom zaawansowany}

Uszkadza  mury miasta w trzech losowo wybranych miejscach.
"	"{Trzêsienie ziemi - poziom mistrzowski}

Uszkadza  mury miasta w czterech losowo wybranych miejscach.
"	 COMBAT_SPELL
Magiczna strza³a	Magiczna strza³a	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Magiczna strza³a}

Wysy³a pocisk magicznej energii rani¹cej oddzia³ przeciwnika."	"{Magiczna strza³a - poziom podstawowy}

Wysy³a pocisk magicznej energii rani¹cej oddzia³ przeciwnika.
"	"{Magiczna strza³a  - poziom zaawansowany}

Wysy³a pocisk magicznej energii rani¹cej oddzia³ przeciwnika.

Obra¿enia s¹ o 10 punktów wiêksze ni¿ w wypadku u¿ycia czaru magiczny pocisk - poziom podstawowy.
"	"{Magiczna strza³a - poziom mistrzowski}

Wysy³a pocisk magicznej energii rani¹cej oddzia³ przeciwnika.

Obra¿enia s¹ o 20 punktów wiêksze ni¿ w wypadku u¿ycia czaru magiczny pocisk - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET
Lodowy pocisk	Lodowy pocisk	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Lodowy pocisk}

Wysysa ciep³o z cia³ wrogów zadaj¹c im rany."	"{Lodowy pocisk - poziom podstawowy}

Wysysa ciep³o z cia³ wrogów zadaj¹c im rany.
"	"{Lodowy pocisk - poziom zaawansowany}

Wysysa ciep³o z cia³ wrogów zadaj¹c im rany.

Obra¿enia s¹ o 10 punktów wiêksze ni¿ w wypadku u¿ycia czaru lodowy pocisk - poziom podstawowy.
"	"{Lodowy pocisk - poziom mistrzowski}

Wysysa ciep³o z cia³ wrogów zadaj¹c im rany.

Obra¿enia s¹ o 40 punktów wiêksze ni¿ w wypadku u¿ycia czaru lodowy pocisk - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET
B³yskawica	B³yskawica	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{B³yskawica}

Œci¹ga uderzenie pioruna na oddzia³ wroga."	"{B³yskawica - poziom podstawowy}

Œci¹ga uderzenie pioruna na oddzia³ wroga.
"	"{B³yskawica - poziom zaawansowany}

Œci¹ga uderzenie pioruna na oddzia³ wroga.

Obra¿enia s¹ o 10 punktów wiêksze ni¿ w wypadku u¿ycia czaru piorun - poziom podstawowy
"	"{B³yskawica - poziom mistrzowski}

Œci¹ga uderzenie pioruna na oddzia³ wroga.

Obra¿enia s¹ o 40 punktów wiêksze ni¿ w wypadku u¿ycia czaru piorun - poziom podstawowy
"	 COMBAT_SPELL|CREATURE_TARGET
Implozja	Implozja	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Implozja}

Rozrywa cia³a wrogów zadaj¹c powa¿ne straty wybranemu oddzia³owi."	"{Implozja - poziom podstawowy}

Rozrywa cia³a wrogów zadaj¹c powa¿ne straty wybranemu oddzia³owi.
"	"{Implozja - poziom zaawansowany}

Rozrywa cia³a wrogów zadaj¹c powa¿ne straty wybranemu oddzia³owi.

Obra¿enia s¹ o 100 punktów wiêksze ni¿ w wypadku u¿ycia czaru implozja - poziom podstawowy
"	"{Implozja - poziom mistrzowski}

Rozrywa cia³a wrogów zadaj¹c powa¿ne straty wybranemu oddzia³owi.

Obra¿enia s¹ o 200 punktów wiêksze ni¿ w wypadku u¿ycia czaru implozja - poziom podstawowy
"	 COMBAT_SPELL|CREATURE_TARGET
£añcuch piorunów	£añcuch piorunów	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{£añcuch piorunów}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga. Po uderzeniu piorun przeskakuje na najbli¿szy oddzia³ rani¹c nale¿¹ce do niego stworzenia z o po³owê mniejsz¹ si³¹. Nastêpnie piorun przeskakuje dalej w sumie zadaj¹c straty czterem oddzia³om.
"	"{£añcuch piorunów - poziom podstawowy}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga. Po uderzeniu piorun przeskakuje na najbli¿szy oddzia³ rani¹c nale¿¹ce do niego stworzenia z o po³owê mniejsz¹ si³¹. Nastêpnie piorun przeskakuje dalej w sumie zadaj¹c straty czterem oddzia³om.
"	"{£añcuch piorunów - poziom zaawansowany}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga. Po uderzeniu piorun przeskakuje na najbli¿szy oddzia³ rani¹c nale¿¹ce do niego stworzenia z o po³owê mniejsz¹ si³¹. Nastêpnie piorun przeskakuje dalej w sumie zadaj¹c straty piêciu oddzia³om.

Obra¿enia s¹ o 25 punktów wiêksze ni¿ w wypadku u¿ycia czaru ³añcuch piorunów - poziom podstawowy.
"	"{£añcuch piorunów - poziom mistrzowski}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga. Po uderzeniu piorun przeskakuje na najbli¿szy oddzia³ rani¹c nale¿¹ce do niego stworzenia z o po³owê mniejsz¹ si³¹. Nastêpnie piorun przeskakuje dalej w sumie zadaj¹c straty piêciu oddzia³om.

Obra¿enia s¹ o 75 punktów wiêksze ni¿ w wypadku u¿ycia czaru ³añcuch piorunów - poziom podstawowy.
"	 COMBAT_SPELL|CREATURE_TARGET
Kr¹g zimna	Kr¹g zimna	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Kr¹g zimna}

Wysysa ciep³o ze strefy przylegaj¹cej do celu nie rani¹c znajduj¹cego siê tam oddzia³u.
"	"{Kr¹g zimna - poziom podstawowy}

Wysysa ciep³o ze strefy przylegaj¹cej do celu nie rani¹c znajduj¹cego siê tam oddzia³u.
"	"{Kr¹g zimna - poziom zaawansowany}

Wysysa ciep³o ze strefy przylegaj¹cej do celu nie rani¹c znajduj¹cego siê tam oddzia³u.

Obra¿enia s¹ o 15 punktów wiêksze ni¿ w wypadku u¿ycia czaru strefa zimna - poziom podstawowy.
"	"{Kr¹g zimna - poziom mistrzowski}

Wysysa ciep³o ze strefy przylegaj¹cej do celu nie rani¹c znajduj¹cego siê tam oddzia³u.

Obra¿enia s¹ o 45 punktów wiêksze ni¿ w wypadku u¿ycia czaru strefa zimna - poziom podstawowy.
"	 COMBAT_SPELL|LOCATION_TARGET
Kula ognia	Kula ognia	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Kula ognia}

Tworzy rozprzestrzeniaj¹c¹ siê kulê ognia rani¹c¹ wybrany oddzia³ wroga oraz inne oddzia³y znajduj¹ce siê w  jego pobli¿u."	"{Kula ognia - poziom podstawowy}

Tworzy rozprzestrzeniaj¹c¹ siê kulê ognia rani¹c¹ wybrany oddzia³ wroga  oraz inne oddzia³y znajduj¹ce siê w  jego pobli¿u.
"	"{Kula ognia - poziom zaawansowany}

Tworzy rozprzestrzeniaj¹c¹ siê kulê ognia rani¹c¹ wybrany oddzia³ wroga  oraz inne oddzia³y znajduj¹ce siê w  jego pobli¿u.

Obra¿enia s¹ o 15 punktów wiêksze ni¿ w wypadku u¿ycia czaru kula ognia  - poziom podstawowy.
"	"{Kula ognia - poziom mistrzowski}

Tworzy rozprzestrzeniaj¹c¹ siê kulê ognia rani¹c¹ wybrany oddzia³ wroga  oraz inne oddzia³y znajduj¹ce siê w  jego pobli¿u.

Obra¿enia s¹ o 45 punktów wiêksze ni¿ w wypadku u¿ycia czaru kula ognia  - poziom podstawowy.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Inferno}

Wysy³a œcianê ognia, która uderza w oddzia³ wroga. Lepiej nie znajdowaæ siê wtedy w jego pobli¿u!
"	"{Inferno - poziom podstawowy}

Wysy³a œcianê ognia, która uderza w oddzia³ wroga. Lepiej nie znajdowaæ siê wtedy w jego pobli¿u!
"	"{Inferno - poziom zaawansowany}

Wysy³a œcianê ognia, która uderza w oddzia³ wroga. Lepiej nie znajdowaæ siê wtedy w jego pobli¿u!

Obra¿enia s¹ o 20 punktów wiêksze ni¿ w wypadku u¿ycia czaru Inferno - poziom podstawowy.
"	"{Inferno - poziom mistrzowski}

Wysy³a œcianê ognia, która uderza w oddzia³ wroga. Lepiej nie znajdowaæ siê wtedy w jego pobli¿u!

Obra¿enia s¹ o 60 punktów wiêksze ni¿ w wypadku u¿ycia czaru Inferno  - poziom podstawowy.
"	 COMBAT_SPELL|LOCATION_TARGET
Deszcz meteorów	Deszcz meteorów	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Deszcz meteorów}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie.
"	"{Deszcz meteorów - poziom podstawowy}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie.
"	"{Deszcz meteorów - poziom zaawansowany}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie.

Obra¿enia s¹ o 25 punktów wiêksze ni¿ w wypadku u¿ycia czaru Deszcz meteorów - poziom podstawowy'.
"	"{Deszcz meteorów - poziom mistrzowski}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie.

Obra¿enia s¹ o 75 punktów wiêksze ni¿ w wypadku u¿ycia czaru Deszcz meteorów - poziom podstawowy.
"	 COMBAT_SPELL|LOCATION_TARGET
Fala œmierci	Fala œmierci	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Fala œmierci}

Wysy³a falê œmierci, która rani wszystkie ¿ywe jednostki znajduj¹ce siê na polu bitwy."	"{Fala œmierci - poziom podstawowy}

Wysy³a falê œmierci, która rani wszystkie ¿ywe jednostki znajduj¹ce siê na polu bitwy.
"	"{Fala œmierci - poziom zaawansowany}

Wysy³a falê œmierci, która rani wszystkie ¿ywe jednostki znajduj¹ce siê na polu bitwy.

Obra¿enia s¹ o 10 punktów wiêksze ni¿ w wypadku u¿ycia czaru Fala œmierci - poziom podstawowy.
"	"{Fala œmierci - poziom mistrzowski}

Wysy³a falê œmierci, która rani wszystkie ¿ywe jednostki znajduj¹ce siê na polu bitwy.

Obra¿enia s¹ o 20 punktów wiêksze ni¿ w wypadku u¿ycia czaru Fala œmierci - poziom podstawowy.
"	 COMBAT_SPELL
Zniszczenie nieumar³ych	Zniszcz. nieumar.	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Odes³anie nieumar³ych}

Próbuje zniszczyæ wszystkich nieumar³ych znajduj¹ce siê na polu bitwy."	"{Odes³anie nieumar³ych - poziom podstawowy}

Próbuje zniszczyæ wszystkich nieumar³ych znajduj¹ce siê na polu bitwy.
"	"{Odes³anie nieumar³ych - poziom zaawansowany}

Próbuje zniszczyæ wszystkich nieumar³ych znajduj¹ce siê na polu bitwy.

Obra¿enia s¹ o 10 punktów wiêksze ni¿ w wypadku u¿ycia czaru Odes³anie nieumar³ych - poziom podstawowy.
"	"{Odes³anie nieumar³ych - poziom mistrzowski}

Próbuje zniszczyæ wszystkich nieumar³ych znajduj¹ce siê na polu bitwy.

Obra¿enia s¹ o 40 punktów wiêksze ni¿ w wypadku u¿ycia czaru Odes³anie nieumar³ych - poziom podstawowy.
"	 COMBAT_SPELL
Armagedon	Armagedon	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armagedon}

Zrzuca deszcz ognia i siarki na pole bitwy rani¹c wszystkie znajduj¹ce siê na nim jednostki."	"{Armagedon - poziom podstawowy}

Zrzuca deszcz ognia i siarki na pole bitwy rani¹c wszystkie znajduj¹ce siê na nim jednostki.
"	"{Armagedon - poziom zaawansowany}

Zrzuca deszcz ognia i siarki na pole bitwy rani¹c wszystkie znajduj¹ce siê na nim jednostki.

Obra¿enia s¹ o 30 punktów wiêksze ni¿ w wypadku u¿ycia czaru Armagedon - poziom podstawowy.
"	"{Armagedon - poziom mistrzowski}

Zrzuca deszcz ognia i siarki na pole bitwy rani¹c wszystkie znajduj¹ce siê na nim jednostki.

Obra¿enia s¹ o 90 punktów wiêksze ni¿ w wypadku u¿ycia czaru Armagedon - poziom podstawowy."	 COMBAT_SPELL
Tarcza	Tarcza	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Tarcza}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran, jakich móg³by on doznaæ podczas walki wrêcz."	"{Tarcza - poziom podstawowy}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran, jakich móg³by on doznaæ podczas walki wrêcz.
"	"{Tarcza - poziom zaawansowany}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran, jakich móg³by on doznaæ podczas walki wrêcz.

Zaklêcie jest dwa razy bardziej skuteczne ni¿ na poziomie podstawowym.
"	"{Tarcza - poziom mistrzowski}

Os³ania wybrany oddzia³ redukuj¹c iloœæ ran, jakich móg³by on doznaæ podczas walki wrêcz.

Zaklêcie jest dwa razy bardziej skuteczne ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET_2
