	Description		
Nauka czarów	"{Nauka czarów - poziom podstawowy}

Pozwala wymieniaæ bohaterom wiedzê o posiadanych zaklêciach - poziomów 1-szego i 2-giego."	"{Nauka czarów - poziom zaawansowany}

Pozwala wymieniaæ bohaterom wiedzê o posiadanych zaklêciach - poziomów 1-szego, 2-giego i 3-ciego."	"{Nauka czarów - poziom mistrzowski}

Pozwala wymieniaæ bohaterom wiedzê o posiadanych zaklêciach - poziomów 1-szego, 2-giego, 3-ciego i 4-tego."
Taktyka	"{Taktyka - poziom podstawowy}

Pozwala na ustawienie oddzia³ów na wybranych pozycjach przed rozpoczêciem bitwy. Oddzia³y mo¿na ustawiæ w odleg³oœci maksymalnie 3 pól od bohatera."	"{Taktyka - poziom zaawansowany}

Pozwala na ustawienie oddzia³ów na wybranych pozycjach przed rozpoczêciem bitwy. Oddzia³y mo¿na ustawiæ w odleg³oœci maksymalnie 5 pól od bohatera."	"{Taktyka - poziom mistrzowski}

Pozwala na ustawienie oddzia³ów na wybranych pozycjach przed rozpoczêciem bitwy. Oddzia³y mo¿na ustawiæ w odleg³oœci maksymalnie 7 pól od bohatera."
Artyleria	"{Artyleria - poziom podstawowy}

Przekazuje kontrolê nad balist¹ bohaterowi, umo¿liwiaj¹c mu oddanie jednego strza³u z 50% prawdopodobieñstwem zadania podwójnych obra¿eñ. Podczas oblê¿enia pozwala broni¹cemu miasta bohaterowi przej¹æ kontrolê nad wie¿ami ³uczniczymi."	"{Artyleria - poziom zaawansowany}

Przekazuje kontrolê nad balist¹ bohaterowi, umo¿liwiaj¹c mu oddanie dwóch strza³ów z 75% prawdopodobieñstwem zadania podwójnych obra¿eñ. Podczas oblê¿enia pozwala broni¹cemu miasta bohaterowi przej¹æ kontrolê nad wie¿ami ³uczniczymi."	"{Artyleria - poziom mistrzowski}

Przekazuje kontrolê nad balist¹ bohaterowi, umo¿liwiaj¹c mu oddanie dwóch strza³ów ze 100% prawdopodobieñstwem zadania podwójnych obra¿eñ. Podczas oblê¿enia pozwala broni¹cemu miasta bohaterowi przej¹æ kontrolê nad wie¿ami ³uczniczymi."
Nauka	"{Nauka - poziom podstawowy}

Zwiêksza o 5% iloœæ zdobywanego doœwiadczenia."	"{Nauka - poziom zaawansowany}

Zwiêksza o 10% iloœæ zdobywanego doœwiadczenia."	"{Nauka - poziom mistrzowski}

Zwiêksza o 15% iloœæ zdobywanego doœwiadczenia."
Atak	"{Atak - poziom podstawowy}

O 10% zwiêksza iloœæ obra¿eñ zadawanych przez oddzia³y bohatera."	"{Atak - poziom zaawansowany}

O 20% zwiêksza iloœæ obra¿eñ zadawanych przez oddzia³y bohatera."	"{Atak - poziom mistrzowski}

O 30% zwiêksza iloœæ obra¿eñ zadawanych przez oddzia³y bohatera."
P³atnerstwo	"{P³atnerstwo - poziom podstawowy}

Zmniejsza uszkodzenia zadawane oddzia³om bohatera o 5%."	"{P³atnerstwo - poziom zaawansowany}

Zmniejsza uszkodzenia zadawane oddzia³om bohatera o 10%."	"{P³atnerstwo - poziom mistrzowski}

Zmniejsza uszkodzenia zadawane oddzia³om bohatera o 15%."
Inteligencja	"{Inteligencja - poziom podstawowy}

Zwiêksza liczbê posiadanych punktów magii o 25%."	"{Inteligencja - poziom zaawansowany}

Zwiêksza liczbê posiadanych punktów magii o 50%."	"{Inteligencja - poziom mistrzowski}

Zwiêksza dwukrotnie liczbê posiadanych punktów magii."
T. magiczny	"{Talent magiczny - poziom podstawowy}

Zaklêcia rzucone przez bohatera zadaj¹ wrogom o 5% wiêcej obra¿eñ."	"{Talent magiczny - poziom zaawansowany}

Zaklêcia rzucone przez bohatera zadaj¹ wrogom o 10% wiêcej obra¿eñ."	"{Talent magiczny - poziom mistrzowski}

Zaklêcia rzucone przez bohatera zadaj¹ wrogom o 15% wiêcej obra¿eñ."
Odpornoœæ	"{Odpornoœæ - poziom podstawowy}

Zwiêksza odpornoœæ na magiê wszystkich oddzia³ów o 5%."	"{Odpornoœæ - poziom zaawansowany}

Zwiêksza odpornoœæ na magiê wszystkich oddzia³ów o 10%."	"{Odpornoœæ - poziom mistrzowski}

Zwiêksza odpornoœæ na magiê wszystkich oddzia³ów o 15%."
Pierw. pomoc	"{Pierwsza pomoc - poziom podstawowy}

Przekazuje bohaterowi kontrolê nad namiotem medyka, daj¹c mu mo¿liwoœæ uleczenia 50 punktów ¿ycia pierwszemu stworzeniu z wybranego przez bohatera oddzia³u."	"{Pierwsza pomoc - poziom zaawansowany}

Przekazuje bohaterowi kontrolê nad namiotem medyka, daj¹c mu mo¿liwoœæ uleczenia 75 punktów ¿ycia pierwszemu stworzeniu z wybranego przez bohatera oddzia³u."	"{Pierwsza pomoc - poziom mistrzowski}

Przekazuje bohaterowi kontrolê nad namiotem medyka, daj¹c mu mo¿liwoœæ uleczenia 100 punktów ¿ycia pierwszemu stworzeniu z wybranego przez bohatera oddzia³u."
