Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Medusa	Medusas	0	0	0	0	0	0	300	379	517	4	0	25	5	14	9	6	8	6	0	10	20	"No melee penalty.
Stone gaze."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Medusa Queen	Medusa Queens	0	0	0	0	0	0	330	423	577	4	0	30	6	15	10	10	20	10	0	10	16	"No melee penalty.
Stone gaze."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Minotaur	Minotaurs	0	0	0	0	0	0	500	835	835	3	0	60	6	14	12	12	20	0	0	8	16	Good morale.	0
Minotaur King	Minotaur Kings	0	0	0	0	0	0	575	890	1068	3	0	60	8	15	15	12	20	0	0	8	12	Good morale.	0
Manticore	Manticores	0	0	0	0	0	0	850	1215	1547	2	0	90	7	17	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Scorpicore	Scorpicores	0	0	0	0	0	0	1050	1248	1589	2	0	120	11	19	14	18	24	0	0	5	10	Paralyzing venom.	DOUBLE_WIDE | FLYING_ARMY
Red Dragon	Red Dragons	0	0	0	4	0	0	6000	3762	4702	1	0	500	13	25	25	55	65	0	0	4	10	Immune to spell levels 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Black Dragon	Black Dragons	0	0	0	8	0	0	8000	6783	8721	1	0	1200	16	32	32	60	75	0	0	3	8	Immune to all spells.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Goblin	Goblins	0	0	0	0	0	0	10	60	60	60	8	5	5	4	2	1	2	0	0	20	50		0
Hobgoblin	Hobgoblins	0	0	0	0	0	0	12	65	78	60	8	5	7	5	3	1	2	0	0	20	30		0
Wolf Rider	Wolf Riders	0	0	0	0	0	0	20	130	130	20	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Wolf Raider	Wolf Raiders	0	0	0	0	0	0	25	174	203	20	0	10	8	8	5	3	4	0	0	16	25	Strikes twice	DOUBLE_WIDE
Orc	Orcs	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Orc Chieftain	Orc Chieftains	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Ogre	Ogres	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Ogre Mage	Ogre Magi	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Spellcaster: Bloodlust.	0
Roc	Rocs	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	13	18	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Thunderbird	Thunderbirds	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	15	20	0	0	8	12	Lightning strike.	FLYING_ARMY | DOUBLE_WIDE
Cyclops	Cyclopes	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Attacks siege walls.	SHOOTING_ARMY | CATAPULT
Cyclops King	Cyclops Kings	0	0	0	0	0	0	1100	1110	1443	2	0	100	8	17	13	16	20	24	0	5	10	Attacks siege walls.	SHOOTING_ARMY | CATAPULT
Behemoth	Behemoths	0	0	0	0	0	0	1500	3162	3162	1	0	400	6	17	17	50	80	0	0	4	10	Target enemy's defense is reduced 40%.	DOUBLE_WIDE | KING_1
Ancient Behemoth	Ancient Behemoths	0	0	0	0	1	0	3000	5397	6168	1	0	600	9	19	19	60	80	0	0	3	8	Target enemy's defense is reduced 80%.	DOUBLE_WIDE | KING_1
																								
																								
																								
Gnoll	Gnolls	0	0	0	0	0	0	30	70	56	20	6	6	4	3	5	3	4	0	0	20	50		0
Gnoll Marauder	Gnoll Marauders	0	0	0	0	0	0	45	90	90	20	6	6	5	4	6	3	4	0	0	20	30		0
Lizardman	Lizardmen	0	0	0	0	0	0	55	115	126	9	0	16	4	5	9	3	4	12	0	16	30	Weakens enemies.	SHOOTING_ARMY
Lizard Warrior	Lizard Warriors	0	0	0	0	0	0	70	130	156	9	0	18	5	6	11	3	6	24	0	16	25	Weakens enemies. Poisonous.	SHOOTING_ARMY
Serpent Fly	Serpent Flies	0	0	0	0	0	0	180	215	268	12	0	20	9	7	9	2	5	0	0	10	20	Dispels beneficial spells.	FLYING_ARMY
Dragon Fly	Dragon Flies	0	0	0	0	0	0	200	250	312	12	0	20	13	8	10	2	5	0	0	10	16	Dispels beneficial spells.  Weakens enemies.	FLYING_ARMY
Basilisk	Basilisks	0	0	0	0	0	0	325	506	552	4	0	55	5	11	14	6	10	0	0	8	16	Petrifying attack.	DOUBLE_WIDE
Greater Basilisk	Greater Basilisks	0	0	0	0	0	0	400	561	714	4	0	60	7	12	15	6	10	0	0	8	12	Petrifying attack.	DOUBLE_WIDE
Gorgon	Gorgons	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Mighty Gorgon	Mighty Gorgons	0	0	0	0	0	0	600	1028	1028	3	0	80	6	12	19	12	16	0	0	12	20	Death stare.	DOUBLE_WIDE
Wyvern	Wyverns	0	0	0	0	0	0	800	1050	1350	2	0	120	7	14	14	18	24	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Wyvern Monarch	Wyvern Monarchs	0	0	0	0	0	0	1100	1181	1518	2	0	180	11	14	14	22	28	0	0	5	10	Poisonous.	DOUBLE_WIDE | FLYING_ARMY
Hydra	Hydras	0	0	0	0	0	0	4000	4120	4120	1	0	300	5	21	24	35	55	0	0	4	10	Attacks all adjacent enemies.  Enemies cannot retaliate.	DOUBLE_WIDE | KING_1
Chaos Hydra	Chaos Hydras	0	0	0	1	0	0	6000	5272	5931	1	0	550	7	24	28	40	60	0	0	3	8	Attacks all adjacent enemies.  Enemies cannot retaliate.	DOUBLE_WIDE | KING_1
																								
																								
																								
Air Elemental	Air Elementals	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	4	10	0	0	8	12	Lightning and firestorm vulnerability.	0
Earth Elemental	Earth Elementals	0	0	0	0	0	0	400	415	330	4	0	50	4	10	10	4	8	0	0	16	30	Meteor shower vulnerability.	0
Fire Elemental	Fire Elementals	0	0	0	0	0	0	350	345	345	5	0	35	6	12	8	6	8	0	0	16	25	"Immune to fire.
Vulnerable to ice."	0
Water Elemental	Water Elementals	0	0	0	0	0	0	200	315	315	9	0	30	5	8	10	3	7	0	0	12	25	"Immune to ice.
Vulnerable to fire."	0
Gold Golem	Gold Golems	0	0	0	0	0	0	500	600	600	3	0	180	5	11	12	8	10	0	0	10	16	Damage from spells reduced 85%.	0
Diamond Golem	Diamond Golems	0	0	0	0	0	0	750	775	775	2	0	300	5	13	12	10	14	0	0	8	12	Damage from spells reduced 95%.	0
																								
																								
																								
Pixie	Pixies	0	0	0	0	0	0	15	40	55	30	10	4	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Sprite	Sprites	0	0	0	0	0	0	20	70	95	30	10	4	9	2	2	2	3	0	0	20	30	No enemy retaliation.	FLYING_ARMY | const_free_attack
Psychic Elemental	Psychic Elementals	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	20	30	0	0	8	16	Attacks all adjacent enemies w/o retaliation. Mind spell immunity.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Magic Elemental	Magic Elementals	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	30	40	0	0	8	12	Attacks all adjacent enemies w/o retaliation. Spell immunity.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ice Elemental	Ice Elementals	0	0	0	0	0	0	250	315	380	9	0	30	6	8	10	3	7	24	3	12	20	Mind spell immunity. Ice immunity. Fire vulnerability.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Magma Elemental	Magma Elementals	0	0	0	0	0	0	500	490	490	4	0	50	7	11	11	6	10	0	3	16	25	Mind spell immunity.  Casts protection from Earth.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Storm Elemental	Storm Elementals	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	6	12	24	3	6	12	No melee penalty.  Lightning and firestorm vulnerability.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Energy Elemental	Energy Elementals	0	0	0	0	0	0	400	360	470	5	0	35	8	15	8	8	12	0	3	12	25	"Casts Protect from Fire. Mind & fire immunity, cold vulnerability."	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Firebird	Firebirds	0	0	0	0	0	0	1500	3248	4547	2	0	250	15	18	18	50	60	0	0	4	10	Breath attack.  Fire spell immunity.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Phoenix	Phoenixes	0	1	0	0	0	0	2000	4929	6721	2	0	350	21	21	18	60	70	0	1	4	10	Breath attack.  Fire spell immunity.  Rebirth.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Azure Dragon	Azure Dragons	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Fear.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Crystal Dragon	Crystal Dragons	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Crystal generation.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Faerie Dragon	Faerie Dragons	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Offensive spell caster.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rust Dragon	Rust Dragons	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Spits acid.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Enchanter	Enchanters	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"No melee penalty.
Group spell casters."	SHOOTING_ARMY | const_no_melee_penalty
Sharpshooter	Sharpshooters	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	No Range or Barrier penalties.	SHOOTING_ARMY
Halfling	Halflings	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Positive luck.	SHOOTING_ARMY
Peasant	Peasants	0	0	0	0	0	0	10	15	15	25	0	3	3	1	1	1	1	0	0	20	50		
Boar	Boars	0	0	0	0	0	0	150	145	145	8	0	50	6	6	5	2	3	0	0	16	30		
Mummy	Mummies	0	0	0	0	0	0	300	270	270	7	0	90	5	7	7	3	5	0	0	12	25	Curse.	
Nomad	Nomads	0	0	0	0	0	0	200	285	345	7	0	55	7	9	8	2	6	0	0	12	25	Sandwalkers.	
Rogue	Rogues	0	0	0	0	0	0	100	135	135	8	0	30	6	8	3	2	4	0	0	16	30	Spying.	
Troll	Trolls	0	0	0	0	0	0	500	1024	1024	3	0	90	7	14	7	10	15	0	0	8	12	Regenerating.	
																								
																								
																								
Catapult	Catapults	0	0	0	0	0	0	1	10	500	0	0	750	0	10	10	0	0	24	0	0	0	Attacks siege walls.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Ballista	Ballistas	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	5	10	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
First Aid Tent	First Aid Tents	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Heals troops.	DOUBLE_WIDE | SIEGE_WEAPON
Ammo Cart	Ammo Carts	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Unlimited ammunition.	SIEGE_WEAPON
Arrow Tower	Arrow Towers	0	0	0	0	0	0	1000	5	400	0	0	100	0	15	5	4	6	99	0	0	0	Unlimited ammunition.	SIEGE_WEAPON
