			Fight										Reward							Creatures		Artifacts				Analysis		
 	2	30%	15	Fire Messenger	0%	15	Fire Messenger	15	Fire Messenger	15	Fire Messenger	2000	0	0	0	0	0	0	0	1	God1War	0	0	0	0	57000	26	125%
 	3	30%	20	Fire Messenger	0%	20	Fire Messenger	20	Fire Messenger	20	Fire Messenger	2000	0	0	0	0	0	0	0	1	God1War	0	0	0	0	75000	29	145%
 	4	10%	30	Fire Messenger	0%	30	Fire Messenger	30	Fire Messenger	30	Fire Messenger	2000	0	0	0	0	0	0	0	1	God1War	0	0	0	0	90000	27	189%
Citadel of Pacification	1	30%	10	Earth Messenger	0%	10	Earth Messenger	10	Earth Messenger	10	Earth Messenger	2000	0	0	0	0	0	0	0	1	God2Peace	0	0	0	0	38000	21	100%
 	2	30%	15	Earth Messenger	0%	15	Earth Messenger	15	Earth Messenger	15	Earth Messenger	2000	0	0	0	0	0	0	0	1	God2Peace	0	0	0	0	57000	26	125%
 	3	30%	20	Earth Messenger	0%	20	Earth Messenger	20	Earth Messenger	20	Earth Messenger	2000	0	0	0	0	0	0	0	1	God2Peace	0	0	0	0	75000	29	145%
 	4	10%	30	Earth Messenger	0%	30	Earth Messenger	30	Earth Messenger	30	Earth Messenger	2000	0	0	0	0	0	0	0	1	God2Peace	0	0	0	0	90000	27	189%
Monastery of Magicians	1	30%	10	Air Messenger	0%	10	Air Messenger	10	Air Messenger	10	Air Messenger	2000	0	0	0	0	0	0	0	1	God3Mana	0	0	0	0	38000	21	100%
 	2	30%	15	Air Messenger	0%	15	Air Messenger	15	Air Messenger	15	Air Messenger	2000	0	0	0	0	0	0	0	1	God3Mana	0	0	0	0	57000	26	125%
 	3	30%	20	Air Messenger	0%	20	Air Messenger	20	Air Messenger	20	Air Messenger	2000	0	0	0	0	0	0	0	1	God3Mana	0	0	0	0	75000	29	145%
 	4	10%	30	Air Messenger	0%	30	Air Messenger	30	Air Messenger	30	Air Messenger	2000	0	0	0	0	0	0	0	1	God3Mana	0	0	0	0	90000	27	189%
Library of Legends	1	30%	10	Water Messenger	0%	10	Water Messenger	10	Water Messenger	10	Water Messenger	2000	0	0	0	0	0	0	0	1	God4Lore	0	0	0	0	38000	21	100%
 	2	30%	15	Water Messenger	0%	15	Water Messenger	15	Water Messenger	15	Water Messenger	2000	0	0	0	0	0	0	0	1	God4Lore	0	0	0	0	57000	26	125%
 	3	30%	20	Water Messenger	0%	20	Water Messenger	20	Water Messenger	20	Water Messenger	2000	0	0	0	0	0	0	0	1	God4Lore	0	0	0	0	75000	29	145%
 	4	10%	30	Water Messenger	0%	30	Water Messenger	30	Water Messenger	30	Water Messenger	2000	0	0	0	0	0	0	0	1	God4Lore	0	0	0	0	90000	27	189%
Transylvanian Tavern	1	30%	10	Vampire	0%	0	None	0	None	0	None	100	0	0	0	0	0	0	1500	3	Vampire Lord	0	0	0	0	2000	10	100%
 	2	30%	15	Vampire	0%	0	None	0	None	0	None	150	0	0	0	0	0	0	2500	5	Vampire Lord	0	0	0	0	3000	10	125%
 	3	30%	20	Vampire	0%	0	None	0	None	0	None	200	0	0	0	0	0	0	3500	7	Vampire Lord	0	0	0	0	4000	10	145%
 	4	10%	30	Vampire	0%	0	None	0	None	0	None	250	0	0	0	0	0	0	5000	9	Vampire Lord	0	0	0	0	5000	10	189%
Home of the Bat	1	30%	10	Vampire	50%	0	None	0	None	0	None	100	0	2	0	2	2	2	0	3	Vampire Lord	0	0	0	0	2000	10	100%
 	2	30%	15	Vampire	70%	0	None	0	None	0	None	150	0	3	0	3	3	3	0	5	Vampire Lord	0	0	0	0	3000	10	125%
 	3	30%	20	Vampire	80%	0	None	0	None	0	None	200	0	4	0	4	4	4	0	7	Vampire Lord	0	0	0	0	4000	10	145%
 	4	10%	30	Vampire	90%	0	None	0	None	0	None	250	0	5	0	5	5	5	0	9	Vampire Lord	0	0	0	0	5000	10	189%
Lost Bottle	1	30%	10	Genie	50%	0	None	0	None	0	None	100	0	2	0	2	2	2	0	3	Genie	0	0	0	0	2000	10	100%
 	2	30%	15	Genie	70%	0	None	0	None	0	None	150	0	3	0	3	3	3	0	5	Genie	0	0	0	0	3000	10	125%
 	3	30%	20	Genie	80%	0	None	0	None	0	None	200	0	4	0	4	4	4	0	7	Genie	0	0	0	0	4000	10	145%
 	4	10%	30	Genie	90%	0	None	0	None	0	None	250	0	5	0	5	5	5	0	9	Genie	0	0	0	0	5000	10	189%
Grotto	1	30%	3	Harpy	0	3	Beholder	3	Harpy	3	Beholder	200			20				1000	0	None	0	0	0	0	2000	20	100%
	2	30%	4	Harpy	0	4	Beholder	4	Harpy	4	Beholder	300			25				1000	0	None	0	0	0	0	3000	20	150%
	3	30%	5	Harpy	0	5	Beholder	5	Harpy	5	Beholder	400			30				1500	0	None	0	0	0	0	4000	20	200%
	4	10%	6	Harpy	0	6	Beholder	6	Harpy	6	Beholder	500			35				2000	0	None	0	0	0	0	5000	20	250%
