BATTLE OBSTACLES
[id] [Def name] [blockmap] [allowed terrins] [two numbers: shift of obstacle's position in the battlefield <x shift, y shift>, eg. if it's <-1, 2> obstacle will be printed one pixel to the left and two to the bottom]
{terrains: 1. sand/shore   2. sand/mesas   3. dirt/birches   4. dirt/hills   5. dirt/pines   6. grass/hills   
7. grass/pines   8. lava   9. magic plains   10. snow/mountains   11. snow/trees   12. subterranean   13. swamp/trees  
 14. fiery fields   15. rock lands   16. magic clouds   17. lucid pools   18. holy ground   19. clover field  
  20. evil fog   21. "favourable winds" text on magic plains background   22. cursed ground   23. rough 
    24. ship to ship   25. ship}
89	OBMCS01.DEF	XLNX			0000000000000001000000000	-8	0
90	OBMCS02.DEF	NXXLXX			0000000000000001000000000	-8	0
41	OBRGS01.DEF	XLXX			1111100000000000000001100	-8	0
40	OBRGS02.DEF	NXXLNXXX		1111100000000000000001100	14	0
42	OBRGS03.DEF	XXLNX			1111100000000000000001100	-8	0
43	OBRGS04.DEF	XXLX			1111100000000000000001100	-30	0
44	OBRGS05.DEF	NXLXX			1111100000000000000001100	-30	0
16	OBRGS06.DEF NXXXXXXLNNNNNNNXLNNNNNNNNX	1111100000000000000001100	-30	-30
84	OBRLS00.DEF	X			0000000000000010000000000	14	0
85	OBRLS01.DEF	XX			0000000000000010000000000	14	0
86	OBRLS02.DEF	XXX			0000000000000010000000000	14	0
87	OBRLS03.DEF	XLNXX			0000000000000010000000000	-8	0
4	OBSKEL1.DEF	XX			1111110000000000000001100	14	0
3	OBSKEL2.DEF	XX			1111110000000000000001100	14	0
24	OBSNS01.DEF	XXX			0000000001100000000000000	14	0
25	OBSNS02.DEF	NXXXX			0000000001100000000000000	14	0
26	OBSNS03.DEF	XLXLX			0000000001100000000000000	-30	0
27	OBSNS04.DEF	XXX			0000000001100000000000000	14	0
28	OBSNS05.DEF	X			0000000001100000000000000	-30	0
29	OBSNS06.DEF	LNXX			0000000001100000000000000	-8	0
30	OBSNS07.DEF	XX			0000000001100000000000000	14	0
31	OBSNS08.DEF	LNXXX			0000000001100000000000000	36	0
32	OBSNS09.DEF	XXXXLNNXXXX		0000000001100000000000000	-8	0
33	OBSNS10.DEF	XXLNXLNXXLNNXXX		0000000001100000000000000	-30	-30
45	OBSUS01.DEF	XXLXXX			0000000000010000000000000	-8	-42
46	OBSUS02.DEF	XXX			0000000000010000000000000	14	-42
47	OBSUS11B.DEF	XXXLXXXX		0000000000010000000000000	-9	-43
34	OBSWS01.DEF	LNX			0000000000001000000000000	36	0
95	OBSWS02.DEF	XXXXXXX			0000000000001000000000000	-8	-42
36	OBSWS03.DEF	XX			0000000000001000000000000	14	0
37	OBSWS04.DEF	XXX			0000000000001000000000000	14	0
38	OBSWS11B.DEF	XXXXLXXXX		0000000000001000000000000	-30	-40
39	OBSWS13A.DEF	XXXXLXX			0000000000001000000000000	14	0
-1
